feature_set,protocol,representation,iterations,depth,learning_rate,random_seed,calibration_method,feature_names,training_N,validation_N
STRICT_ORDER_ENTRY,A,Q0,148,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month,30744,5032
STRICT_ORDER_ENTRY,A,Q2,81,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month|q2_prod_rel,30744,5032
STRICT_ORDER_ENTRY,A,Q4,149,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month|q4_tracer_rel,30744,5032
STRICT_ORDER_ENTRY,B,Q0,57,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month,21930,5032
STRICT_ORDER_ENTRY,B,Q2,51,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month|q2_prod_rel,21930,5032
STRICT_ORDER_ENTRY,B,Q4,84,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month|q4_tracer_rel,21930,5032
EXTENDED_PLANNING_INFORMATION,A,Q0,109,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month|Transportation Mode|Framework Contract|Vendor Incoterm|Destination Incoterm|Illustrative Price|Estimated Lead Time in Days,30744,5032
EXTENDED_PLANNING_INFORMATION,A,Q2,80,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month|Transportation Mode|Framework Contract|Vendor Incoterm|Destination Incoterm|Illustrative Price|Estimated Lead Time in Days|q2_prod_rel,30744,5032
EXTENDED_PLANNING_INFORMATION,A,Q4,76,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month|Transportation Mode|Framework Contract|Vendor Incoterm|Destination Incoterm|Illustrative Price|Estimated Lead Time in Days|q4_tracer_rel,30744,5032
EXTENDED_PLANNING_INFORMATION,B,Q0,49,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month|Transportation Mode|Framework Contract|Vendor Incoterm|Destination Incoterm|Illustrative Price|Estimated Lead Time in Days,21930,5032
EXTENDED_PLANNING_INFORMATION,B,Q2,55,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month|Transportation Mode|Framework Contract|Vendor Incoterm|Destination Incoterm|Illustrative Price|Estimated Lead Time in Days|q2_prod_rel,21930,5032
EXTENDED_PLANNING_INFORMATION,B,Q4,58,6,0.1,42,sigmoid + isotonic,Country|Order Type|Item Tracer Category|Product Category|Product ID|UOM|D365 Health Element|D365 Funding Source|Fiscal_Year_Funding|calendar_month|Transportation Mode|Framework Contract|Vendor Incoterm|Destination Incoterm|Illustrative Price|Estimated Lead Time in Days|q4_tracer_rel,21930,5032
