min_median_R,min_spearman,max_mad,n_req,bands_req,passed_product_representation_pairs,unique_products
0.005,0.3,0.02,5,3,4,2
0.005,0.3,0.02,10,3,0,0
0.005,0.3,0.05,5,3,9,5
0.005,0.3,0.05,10,3,2,1
0.005,0.5,0.02,5,3,4,2
0.005,0.5,0.02,10,3,0,0
0.005,0.5,0.05,5,3,8,5
0.005,0.5,0.05,10,3,1,1
0.005,0.7,0.02,5,3,4,2
0.005,0.7,0.02,10,3,0,0
0.005,0.7,0.05,5,3,7,5
0.005,0.7,0.05,10,3,1,1
0.01,0.3,0.02,5,3,1,1
0.01,0.3,0.02,10,3,0,0
0.01,0.3,0.05,5,3,2,2
0.01,0.3,0.05,10,3,0,0
0.01,0.5,0.02,5,3,1,1
0.01,0.5,0.02,10,3,0,0
0.01,0.5,0.05,5,3,2,2
0.01,0.5,0.05,10,3,0,0
0.01,0.7,0.02,5,3,1,1
0.01,0.7,0.02,10,3,0,0
0.01,0.7,0.05,5,3,1,1
0.01,0.7,0.05,10,3,0,0
0.015,0.3,0.02,5,3,0,0
0.015,0.3,0.02,10,3,0,0
0.015,0.3,0.05,5,3,0,0
0.015,0.3,0.05,10,3,0,0
0.015,0.5,0.02,5,3,0,0
0.015,0.5,0.02,10,3,0,0
0.015,0.5,0.05,5,3,0,0
0.015,0.5,0.05,10,3,0,0
0.015,0.7,0.02,5,3,0,0
0.015,0.7,0.02,10,3,0,0
0.015,0.7,0.05,5,3,0,0
0.015,0.7,0.05,10,3,0,0
0.02,0.3,0.02,5,3,0,0
0.02,0.3,0.02,10,3,0,0
0.02,0.3,0.05,5,3,0,0
0.02,0.3,0.05,10,3,0,0
0.02,0.5,0.02,5,3,0,0
0.02,0.5,0.02,10,3,0,0
0.02,0.5,0.05,5,3,0,0
0.02,0.5,0.05,10,3,0,0
0.02,0.7,0.02,5,3,0,0
0.02,0.7,0.02,10,3,0,0
0.02,0.7,0.05,5,3,0,0
0.02,0.7,0.05,10,3,0,0
